음식 이름,칼로리,카테고리
쌀밥,334.8,메인 탄수화물
기타잡곡밥,302.362,메인 탄수화물
콩밥,322.9,메인 탄수화물
보리밥,316.1,메인 탄수화물
돌솥밥,528.855,메인 탄수화물
현미밥,351.35,메인 탄수화물
흑미밥,318.0,메인 탄수화물
감자밥,308.0,메인 탄수화물
곤드레밥,506.8,메인 탄수화물
김치볶음밥,656.98,메인 탄수화물
주먹밥,209.56,메인 탄수화물
볶음밥,687.744,메인 탄수화물
일반비빔밥,702.996,메인 탄수화물
전주비빔밥,662.192,메인 탄수화물
삼선볶음밥,683.617,메인 탄수화물
새우볶음밥,634.52,메인 탄수화물
알밥,606.54,메인 탄수화물
산채비빔밥 ,495.89,메인 탄수화물
오므라이스,684.986,단일음식
육회비빔밥,661.41,메인 탄수화물
해물볶음밥,659.23,메인 탄수화물
열무비빔밥,445.66,메인 탄수화물
불고기덮밥,699.96,메인 탄수화물
소고기국밥,331.71,메인 탄수화물
송이덮밥,600.42,메인 탄수화물
오징어덮밥,693.98,메인 탄수화물
자장밥,729.617,메인 탄수화물
잡채밥,851.54,메인 탄수화물
잡탕밥,737.23,메인 탄수화물
장어덮밥,671.72,메인 탄수화물
제육덮밥,796.94,메인 탄수화물
짬뽕밥,696.6878378,메인 탄수화물
순대국밥,690.35,메인 탄수화물
카레라이스,653.24,단일음식
전주콩나물국밥,432.38,메인 탄수화물
해물덮밥,837.976,메인 탄수화물
회덮밥,697.996,메인 탄수화물
소머리국밥,891.43,메인 탄수화물
돼지국밥,811.44,메인 탄수화물
하이라이스,477.6,단일음식
김치김밥 한줄,377.262,메인 탄수화물
농어초밥,414.78,메인 탄수화물
문어초밥,377.97,메인 탄수화물
새우초밥,395.54,메인 탄수화물
새우튀김롤,572.016,단일음식
샐러드김밥,422.434,메인 탄수화물
광어초밥,471.664,메인 탄수화물
소고기김밥,425.666,메인 탄수화물
갈비삼각김밥,183.18,메인 탄수화물
연어롤 ,518.58,단일음식
연어초밥,451.029,메인 탄수화물
유부초밥,463.21,메인 탄수화물
장어초밥,486.34837,메인 탄수화물
참치김밥,401.224,메인 탄수화물
참치마요삼각김밥,189.582,메인 탄수화물
치즈김밥 ,462.2269,메인 탄수화물
캘리포니아롤,468.16,단일음식
한치초밥,389.96,메인 탄수화물
일반김밥,348.87,메인 탄수화물
간자장,807.7368,단일음식
굴짬뽕,640.774,단일음식
기스면,645.61,메인 탄수화물
김치라면,512.25525,메인 탄수화물
김치우동,512.712,단일음식
김치말이국수,310.377,국
닭칼국수,643.097,국
들깨칼국수,442.322,국
떡라면,672.18,메인 탄수화물
라면,509.328,메인 탄수화물
막국수,566.886,국
메밀국수,588.675,국
물냉면,579.71,메인 탄수화물
비빔국수,577.17,국
비빔냉면,594.31,메인 탄수화물
삼선우동,692.26,단일음식
삼선자장면,787.844,메인 탄수화물
삼선짬뽕,629.1,단일음식
수제비,622.148,단일음식
쌀국수,321.335,국
열무김치국수,488.324,국
오일소스스파게티,626.585,육류
일식우동,420.793,단일음식
볶음우동,377.92,단일음식
자장면,760.88275,메인 탄수화물
잔치국수,564.234,국
짬뽕,650.306,단일음식
짬뽕라면,633.34,메인 탄수화물
쫄면,622.419,메인 탄수화물
치즈라면,598.674,메인 탄수화물
콩국수,623.5,국
크림소스스파게티,825.0615,육류
토마토소스스파게티,642.1776,육류
해물칼국수,621.1974,국
회냉면,638.902,메인 탄수화물
떡국,714.9869,국
떡만둣국,625.347,국
짜장라면,409.375,메인 탄수화물
고기만두,454.385,육류
군만두,684.42,단일음식
김치만두,424.6424,단일음식
물만두,158.05255,단일음식
만둣국,432.621,국
게살죽,554.238,단일음식
깨죽,505.6775,단일음식
닭죽,1181.71,육류
소고기버섯죽,573.2374,채소
어죽,559.2741,단일음식
잣죽,872.608,단일음식
전복죽,587.2914,단일음식
참치죽,658.4604,단일음식
채소죽,514.8324,채소
팥죽,482.652,단일음식
호박죽,430.326,채소
콘스프,280.482,단일음식
토마토스프,382.412,단일음식
굴국,194.4225,국
김치국,85.9995,국
달걀국,193.041,국
감자국,220.073,국
미역국,50.165,국
바지락조개국,159.247,국
소고기무국,125.224,국
소고기미역국,154.9275,국
순대국,550.664,국
어묵국,252.09,국
오징어국,169.035,국
토란국,462.97,국
탕국,94.2375,국
홍합미역국,168.883,국
황태해장국,184.224,국
근대된장국,109.2645,국
미소된장국,37.9665,국
배추된장국,121.534,국
뼈다귀해장국 ,715.98,국
선지(해장)국,314.42,국
콩나물국,22.53,국
