음식 이름,칼로리,카테고리
쌀밥,335,주식
김치볶음밥,657,단일음식
주먹밥,210,주식
오므라이스,685,단일음식
육회비빔밥,661,단일음식
해물볶음밥,659,단일음식
열무비빔밥,546,단일음식
불고기덮밥,700,단일음식
소고기국밥,632,단일음식
장어덮밥,672,단일음식
제육덮밥,797,단일음식
순대국밥,690,단일음식
카레라이스,653,단일음식
해물덮밥,838,단일음식
회덮밥,698,단일음식
소머리국밥,891,단일음식
돼지국밥,811,단일음식
하이라이스,678,단일음식
초밥 한판,500,단일음식
김밥 두줄,720,단일음식
간자장,808,단일음식
굴짬뽕,641,단일음식
김치라면,512,단일음식
김치우동,513,단일음식
김치말이국수,310,단일음식
닭칼국수,643,단일음식
들깨칼국수,442,단일음식
라면,509,단일음식
메밀국수,589,단일음식
물냉면,580,단일음식
비빔냉면,594,단일음식
수제비,622,단일음식
쌀국수,321,단일음식
오일소스스파게티,627,단일음식
일식우동,421,단일음식
볶음우동,378,단일음식
자장면,761,단일음식
잔치국수,564,단일음식
짬뽕,650,단일음식
크림소스스파게티,825,단일음식
토마토소스스파게티,642,단일음식
해물칼국수,621,단일음식
회냉면,639,단일음식
떡국,715,단일음식
군만두,684,메인반찬
전복죽,587,단일음식
팥죽,483,단일음식
호박죽,430,단일음식
콘스프,280,단일음식
굴국,134,국
김치국,86,국
미역국,50,국
바지락조개국,159,국
소고기무국,125,국
소고기미역국,155,국
순대국,114,국
어묵국,113,국
오징어국,169,국
선지(해장)국,314,국
콩나물국,23,국
갈비탕,240,국
감자탕,964,국
곰탕,181,국
매운탕,403,국
꽃게탕,241,국
닭볶음탕,372,국
삼계탕,881,단일음식
설렁탕,123,국
추어탕,339,국
해물탕,272,국
육개장,138,국
뼈해장국,693,단일음식
부대찌개,200,국
된장찌개,147,국
청국장찌개,121,국
두부전골,122,국
돼지고기김치찌개,200,국
순두부찌개,135,국
해물찜,397,메인반찬
소갈비찜,500,메인반찬
돼지갈비찜,250,메인반찬
찜닭,1358,메인반찬
족발,782,단일음식
달걀찜,190,메인반찬
닭갈비,202,메인반찬
닭꼬치,178,메인반찬
돼지갈비,249,메인반찬
떡갈비,201,메인반찬
불고기,387,메인반찬
소양념갈비구이,987,메인반찬
소불고기,175,메인반찬
양념왕갈비,486,메인반찬
햄버거스테이크,437,메인반찬
훈제오리,117,메인반찬
치킨데리야끼,320,메인반찬
더덕구이,98,사이드반찬
동태전,109,메인반찬
해물파전,207,메인반찬
동그랑땡,312,사이드반찬
달걀말이,172,사이드반찬
멸치볶음,69,사이드반찬
어묵볶음,282,사이드반찬
오징어볶음,244,사이드반찬
두부김치,292,사이드반찬
양송이버섯볶음,132,사이드반찬
표고버섯볶음,144,사이드반찬
돼지껍데기볶음,244,메인반찬
소세지볶음,261,메인반찬
순대볶음,312,메인반찬
오리불고기,231,메인반찬
떡볶이,801,단일음식
마파두부,227,사이드반찬
갈치조림,99,사이드반찬
꽁치조림,280,메인반찬
코다리조림,147,사이드반찬
달걀장조림,134,사이드반찬
메추리알장조림,154,사이드반찬
돼지고기메추리알장조림,63,사이드반찬
알감자조림,56,사이드반찬
콩조림,59,사이드반찬
두부고추장조림,67,사이드반찬
새우튀김,209,사이드반찬
생선가스,205,사이드반찬
쥐포튀김,353,사이드반찬
오징어튀김,75,사이드반찬
닭강정,223,메인반찬
미니돈가스,221,메인반찬
양념치킨,868,단일음식
치즈돈가스,758,단일음식
치킨가스,582,단일음식
탕수육,454,메인반찬
깐풍기,585,메인반찬
감자튀김,462,메인반찬
고구마맛탕,491,사이드반찬
도토리묵,43,사이드반찬
파무침,124,사이드반찬
시금치나물,38,사이드반찬
콩나물,24,사이드반찬
고구마줄기나물,30,사이드반찬
우거지나물무침,126,사이드반찬
골뱅이무침,107,사이드반찬
김무침,81,사이드반찬
미역초무침,25,사이드반찬
골뱅이국수무침,256,사이드반찬
오징어무침,250,사이드반찬
잡채,199,사이드반찬
갓김치,28,사이드반찬
고들빼기,55,사이드반찬
깍두기,18,사이드반찬
배추김치,18,사이드반찬
열무김치,16,사이드반찬
열무얼갈이김치,17,사이드반찬
오이소박이,17,사이드반찬
총각김치,18,사이드반찬
파김치,28,사이드반찬
간장게장,293,단일음식
마늘쫑장아찌,28,사이드반찬
고추장아찌,22,사이드반찬
양념게장,276,단일음식
양파장아찌,20,사이드반찬
단무지,4,사이드반찬
오징어젓갈,7,사이드반찬
명란젓,12,사이드반찬
생연어,110,메인반찬
생선물회,575,단일음식
광어회 ,116,단일음식
육회,237,단일음식
육사시미,204,단일음식
가래떡,205,후식
경단,304,후식
꿀떡,226,후식
시루떡,224,후식
무지개떡,218,후식
송편,235,후식
인절미,214,후식
찹쌀떡,265,후식
다식,105,후식
약과,114,후식
깨강정,150,후식
잡곡밥,279,주식
