음식 이름,칼로리,카테고리
쌀밥,335.0,주식
기타잡곡밥,302.0,주식
콩밥,323.0,주식
보리밥,316.0,주식
돌솥밥,529.0,주식
현미밥,351.0,주식
흑미밥,318.0,주식
감자밥,308.0,주식
곤드레밥,507.0,주식
김치볶음밥,657.0,단일음식
주먹밥,210.0,주식
볶음밥,688.0,주식
일반비빔밥,703.0,단일음식
전주비빔밥,662.0,단일음식
삼선볶음밥,684.0,단일음식
새우볶음밥,635.0,단일음식
알밥,607.0,단일음식
산채비빔밥 ,496.0,단일음식
오므라이스,685.0,단일음식
육회비빔밥,661.0,단일음식
해물볶음밥,659.0,단일음식
열무비빔밥,446.0,단일음식
불고기덮밥,700.0,주식
소고기국밥,332.0,주식
송이덮밥,600.0,주식
오징어덮밥,694.0,주식
자장밥,730.0,주식
잡채밥,852.0,주식
잡탕밥,737.0,주식
장어덮밥,672.0,주식
제육덮밥,797.0,주식
짬뽕밥,697.0,주식
순대국밥,690.0,단일음식
카레라이스,653.0,단일음식
전주콩나물국밥,432.0,주식
해물덮밥,838.0,단일음식
회덮밥,698.0,단일음식
소머리국밥,891.0,단일음식
돼지국밥,811.0,단일음식
하이라이스,478.0,단일음식
김치김밥 한줄,377.0,단일음식
농어초밥,415.0,단일음식
문어초밥,378.0,단일음식
새우초밥,396.0,단일음식
새우튀김롤,572.0,단일음식
샐러드김밥,422.0,단일음식
광어초밥,472.0,단일음식
소고기김밥,426.0,단일음식
갈비삼각김밥,183.0,단일음식
연어롤 ,519.0,단일음식
연어초밥,451.0,단일음식
유부초밥,463.0,단일음식
장어초밥,486.0,단일음식
참치김밥,401.0,단일음식
참치마요삼각김밥,190.0,단일음식
치즈김밥 ,462.0,단일음식
캘리포니아롤,468.0,단일음식
한치초밥,390.0,단일음식
일반김밥,349.0,단일음식
간자장,808.0,단일음식
굴짬뽕,641.0,단일음식
기스면,646.0,단일음식
김치라면,512.0,단일음식
김치우동,513.0,단일음식
김치말이국수,310.0,단일음식
닭칼국수,643.0,단일음식
들깨칼국수,442.0,단일음식
떡라면,672.0,단일음식
라면,509.0,단일음식
막국수,567.0,단일음식
메밀국수,589.0,단일음식
물냉면,580.0,단일음식
비빔국수,577.0,단일음식
비빔냉면,594.0,단일음식
삼선우동,692.0,단일음식
삼선자장면,788.0,단일음식
삼선짬뽕,629.0,단일음식
수제비,622.0,단일음식
쌀국수,321.0,단일음식
열무김치국수,488.0,단일음식
오일소스스파게티,627.0,단일음식
일식우동,421.0,단일음식
볶음우동,378.0,단일음식
자장면,761.0,단일음식
잔치국수,564.0,단일음식
짬뽕,650.0,단일음식
짬뽕라면,633.0,단일음식
쫄면,622.0,단일음식
치즈라면,599.0,단일음식
콩국수,624.0,단일음식
크림소스스파게티,825.0,단일음식
토마토소스스파게티,642.0,단일음식
해물칼국수,621.0,단일음식
회냉면,639.0,단일음식
떡국,715.0,단일음식
떡만둣국,625.0,단일음식
짜장라면,409.0,단일음식
고기만두,454.0,메인반찬
군만두,684.0,메인반찬
김치만두,425.0,메인반찬
물만두,158.0,메인반찬
만둣국,433.0,단일음식
게살죽,554.0,단일음식
깨죽,506.0,단일음식
닭죽,1182.0,단일음식
소고기버섯죽,573.0,단일음식
어죽,559.0,단일음식
잣죽,873.0,단일음식
전복죽,587.0,단일음식
참치죽,658.0,단일음식
채소죽,515.0,단일음식
팥죽,483.0,단일음식
호박죽,430.0,단일음식
콘스프,280.0,단일음식
토마토스프,382.0,단일음식
굴국,194.0,국
김치국,86.0,국
달걀국,193.0,국
감자국,220.0,국
미역국,50.0,국
바지락조개국,159.0,국
소고기무국,125.0,국
소고기미역국,155.0,국
순대국,551.0,국
어묵국,252.0,국
오징어국,169.0,국
토란국,463.0,국
탕국,94.0,국
홍합미역국,169.0,국
황태해장국,184.0,국
근대된장국,109.0,국
미소된장국,38.0,국
배추된장국,122.0,국
뼈다귀해장국 ,716.0,국
선지(해장)국,314.0,국
콩나물국,23.0,국
시금치된장국,121.0,국
시래기된장국,99.0,국
쑥된장국,117.0,국
아욱된장국,104.0,국
우거지된장국,86.0,국
우거지해장국,158.0,국
우렁된장국,245.0,국
갈비탕,240.0,국
감자탕,964.0,국
곰탕,181.0,국
매운탕,403.0,국
꼬리곰탕,751.0,국
꽃게탕,241.0,국
낙지탕,186.0,국
내장탕,550.0,국
닭곰탕,528.0,국
닭볶음탕,372.0,국
지리탕,261.0,국
도가니탕,564.0,국
삼계탕,881.0,국
설렁탕,423.0,국
알탕,424.0,국
연포탕,541.0,국
오리탕,481.0,국
추어탕,339.0,국
해물탕,272.0,국
닭개장,317.0,국
육개장,138.0,국
뼈해장국,693.0,국
미역오이냉국,77.0,국
고등어찌개,605.0,국
꽁치찌개,357.0,국
동태찌개,370.0,국
부대찌개,526.0,국
된장찌개,147.0,국
청국장찌개,275.0,국
두부전골,315.0,국
곱창전골,533.0,국
소고기전골,203.0,국
국수전골,643.0,국
돼지고기김치찌개,246.0,국
버섯찌개,172.0,국
참치김치찌개,194.0,국
순두부찌개,198.0,국
콩비지찌개,249.0,국
햄김치찌개,190.0,국
호박찌개,98.0,국
고추장찌개,263.0,국
대구찜,373.0,메인반찬
도미찜,126.0,메인반찬
문어숙회,67.0,메인반찬
아귀찜,311.0,메인반찬
조기찜,185.0,메인반찬
참꼬막,90.0,메인반찬
해물찜,397.0,메인반찬
소갈비찜,500.0,메인반찬
돼지갈비찜,250.0,메인반찬
돼지고기수육,1218.0,메인반찬
찜닭,1358.0,메인반찬
족발,382.0,단일음식
달걀찜,190.0,메인반찬
닭갈비,562.0,메인반찬
닭꼬치,178.0,메인반찬
돼지갈비,249.0,메인반찬
떡갈비,763.0,메인반찬
불고기,387.0,메인반찬
소곱창구이,639.0,메인반찬
소양념갈비구이,987.0,메인반찬
소불고기,175.0,메인반찬
양념왕갈비,486.0,메인반찬
햄버거스테이크,437.0,메인반찬
훈제오리,790.0,메인반찬
치킨데리야끼,693.0,메인반찬
치킨윙,219.0,메인반찬
더덕구이,184.0,사이드반찬
양배추구이,61.0,사이드반찬
두부구이,91.0,사이드반찬
삼치구이,356.0,사이드반찬
가자미전,220.0,사이드반찬
굴전,193.0,사이드반찬
동태전,265.0,메인반찬
해물파전,267.0,메인반찬
동그랑땡,312.0,사이드반찬
햄부침,233.0,메인반찬
육전,197.0,메인반찬
감자전,366.0,메인반찬
고추전,261.0,메인반찬
김치전,286.0,메인반찬
깻잎전,358.0,사이드반찬
녹두빈대떡,201.0,사이드반찬
미나리전,216.0,사이드반찬
배추전,241.0,사이드반찬
버섯전,240.0,사이드반찬
부추전,241.0,사이드반찬
야채전,195.0,사이드반찬
파전,281.0,사이드반찬
호박부침개,131.0,사이드반찬
호박전,215.0,사이드반찬
달걀말이,172.0,사이드반찬
두부부침,135.0,사이드반찬
두부전,254.0,사이드반찬
건새우볶음,69.0,사이드반찬
낙지볶음,181.0,사이드반찬
멸치볶음,69.0,사이드반찬
어묵볶음,282.0,사이드반찬
오징어볶음,244.0,사이드반찬
오징어채볶음,56.0,사이드반찬
주꾸미볶음,212.0,사이드반찬
해물볶음,421.0,사이드반찬
감자볶음,58.0,사이드반찬
김치볶음,190.0,사이드반찬
깻잎나물볶음,212.0,사이드반찬
느타리버섯볶음,133.0,사이드반찬
두부김치,292.0,사이드반찬
머위나물볶음,103.0,사이드반찬
양송이버섯볶음,132.0,사이드반찬
표고버섯볶음,144.0,사이드반찬
고추잡채,264.0,사이드반찬
호박볶음,29.0,사이드반찬
돼지고기볶음,353.0,메인반찬
돼지껍데기볶음,346.0,메인반찬
소세지볶음,476.0,메인반찬
순대볶음,580.0,메인반찬
오리불고기,560.0,메인반찬
오삼불고기,357.0,메인반찬
떡볶이,301.0,단일음식
라볶이,266.0,단일음식
마파두부,227.0,사이드반찬
가자미조림,301.0,사이드반찬
갈치조림,99.0,사이드반찬
고등어조림,459.0,사이드반찬
꽁치조림,280.0,사이드반찬
동태조림,271.0,사이드반찬
북어조림,185.0,사이드반찬
조기조림,378.0,사이드반찬
코다리조림,147.0,사이드반찬
달걀장조림,134.0,사이드반찬
메추리알장조림,205.0,사이드반찬
돼지고기메추리알장조림,63.0,사이드반찬
소고기메추리알장조림,61.0,사이드반찬
고추조림,106.0,사이드반찬
감자조림,39.0,사이드반찬
우엉조림,68.0,사이드반찬
알감자조림,56.0,사이드반찬
(검은)콩조림,57.0,사이드반찬
콩조림,59.0,사이드반찬
두부고추장조림,67.0,사이드반찬
땅콩조림,80.0,사이드반찬
미꾸라지튀김,382.0,사이드반찬
새우튀김,311.0,사이드반찬
생선가스,646.0,사이드반찬
쥐포튀김,353.0,사이드반찬
오징어튀김,308.0,사이드반찬
닭강정,323.0,메인반찬
닭튀김,910.0,메인반찬
돈가스,621.0,메인반찬
모래집튀김,457.0,메인반찬
양념치킨,568.0,단일음식
치즈돈가스,758.0,메인반찬
치킨가스,582.0,메인반찬
탕수육,454.0,메인반찬
깐풍기,585.0,메인반찬
감자튀김,462.0,메인반찬
고구마맛탕,491.0,사이드반찬
고구마튀김,242.0,사이드반찬
고추튀김,198.0,사이드반찬
김말이튀김,241.0,사이드반찬
채소튀김,312.0,사이드반찬
노각무침,81.0,사이드반찬
단무지무침,19.0,사이드반찬
달래나물무침,133.0,사이드반찬
더덕무침,221.0,사이드반찬
도라지생채,165.0,사이드반찬
도토리묵,43.0,사이드반찬
마늘쫑무침,38.0,사이드반찬
무생채,74.0,사이드반찬
무말랭이,40.0,사이드반찬
오이생채,23.0,사이드반찬
파무침,124.0,사이드반찬
상추겉절이,131.0,사이드반찬
쑥갓나물무침,95.0,사이드반찬
청포묵무침,158.0,사이드반찬
해파리냉채,87.0,사이드반찬
가지나물,22.0,사이드반찬
고사리나물,44.0,사이드반찬
도라지나물,55.0,사이드반찬
무나물,35.0,사이드반찬
미나리나물,28.0,사이드반찬
숙주나물,20.0,사이드반찬
시금치나물,38.0,사이드반찬
취나물,73.0,사이드반찬
콩나물,24.0,사이드반찬
고구마줄기나물,30.0,사이드반찬
우거지나물무침,126.0,사이드반찬
골뱅이무침,107.0,사이드반찬
김무침,81.0,사이드반찬
미역초무침,25.0,사이드반찬
북어채무침,332.0,사이드반찬
회무침,312.0,사이드반찬
쥐치채,53.0,사이드반찬
파래무침,32.0,사이드반찬
홍어무침,193.0,사이드반찬
골뱅이국수무침,256.0,사이드반찬
오징어무침,250.0,사이드반찬
